objectid,filename,format,parentid,registration_number,title,subject,object_sanskrit_definition,material,measurement,colour,cultural_influence,manufacture_place,locations,price,placement,usage_context,position,face_expression,body_part_position,false_gesture,description
dmc89,dmc89.jpeg,image/jpeg,dmc90,DMC 89,Triple Baby Buddhas,"Baby, Basic, Wise Three Babies",without mudra,"Polyresin, Artificial Stone",Height Approximately 8 cm,Grey,Indian,China,Bochum – ibeauty Nail Shop,Unknown,The Primary Display of Store,To decorate the shop’s display,Seated,Happy,"Seated with legs crossed, covered their eyes, ears and mouth with their hands",,"The baby Buddha figures are seated cross-legged. They wear robes covering their bodies. They have a smile on their faces. They symbolise the metaphor of the three wise monkeys, also known in and outside Asia. They cover their mouth, eyes and ears with their hands."
dmc90,dmc90.jpeg,multiple,,DMC 90,,,,,,,,,,,,,,,,,
dmc91,dmc91.jpeg,image/jpeg,,DMC 91,Coloured Buddha,"Big Belly, Green Robe",unknown mudra,Porcelain,Height Approximately 20 cm,"White, Green",Chinese,China,Bochum – Kamo Lifestyle (Clothing Shop),Unknown,The Primary Display of Store,To decorate the shop’s display,Seated,Happy,"Seated in a relaxed, leisurely pose, with one knee raised and the other crossed in front",,"The Buddha figure is seated in a comfortable position. His green robes expose his left shoulder, breasts and large round belly. He holds a rosary in his hand. At the same time, the Buddha's eyebrows are coloured black, his lips red and the inside of his eyes white. He has a happy smile on his face. Since this is a concept and clothing store, Buddha is also for sale."
dmc92,dmc92.jpeg,multiple,,DMC 92,,,,,,,,,,,,,,,,,
dmc93,dmc93.jpeg,image/jpeg,dmc92,DMC 93,Rattanakosin Buddha,"Fancy, Gilded Gold",anjali mudra,Bronze,Height Approximately 50 cm,Antique Gold,Thai,Unknown,Frankfurt – Schnorr (Spice and Tea Shop),Unknown,The Primary Display of Store,To decorate the shop’s display,Knelled,Serene,Seated on his knees and made a mudra of gratitude with his hands,,"The kneeling figure is dressed in jewelled robes reminiscent of royal attire and wears a long flame-like crown. This spiked crown is described as an ushnisha, a mudra with both hands joined together. Her outfit is highly ornate and embroidered. Spices and tea are often associated with Asia, hence the display in the shop window to attract customers."
dmc94,dmc94.jpeg,image/jpeg,dmc92,DMC 94,,,,,,,,,,,,,,,,,
dmc95,dmc95.jpeg,multiple,,DMC 95,,,,,,,,,,,,,,,,,
dmc96,dmc96.jpeg,image/jpeg,dmc95,DMC 96,Shiny White Buddha,"Laughing, Big Belly",unknown mudra,Porcelain,Height Approximately 20 cm,White,Chinese,Unknown,Bochum – Nataya (Massage Salon),Unknown,The Primary Display of Store,To decorate the shop’s display,Seated,Happy,"Seated in a relaxed, leisurely pose, with one knee raised and the other crossed in front",,"Buddha is sitting in a relaxed position. His robe leaves his chest and belly uncovered. His robe is covered with designs and his whole body and clothes are white in colour. He has a smile on his face, showing his teeth. His earlobes hang down to his breasts."
dmc97,dmc97.jpeg,image/jpeg,dmc95,DMC 97,White Buddha,"Shining, Smooth",dhyana mudra,Porcelain,Height Approximately 20 cm,White,Indian,Unknown,Bochum – Nataya (Massage Salon),Unknown,The Primary Display of Store,To decorate the shop’s display,Seated,Serene,"Seated with legs crossed, hands gently holding a bowl",,The Buddha figure is seen cross-legged in the window of the massage parlour. Many other elements of Buddhism are also seen in the Thai massage parlour.
dmc98,dmc98.jpeg,image/jpeg,dmc95,DMC 98,,,,,,,,,,,,,,,,,
dmc99,dmc99.jpeg,image/jpeg,dmc95,DMC 99,,,,,,,,,,,,,,,,,
dmc100,dmc100.jpeg,image/jpeg,,DMC 100,,,,,,,,,,,,,,,,,
dmc101,dmc101.jpeg,image/jpeg,,DMC 101,,,,,,,,,,,,,,,,,
dmc102,dmc102.jpeg,image/jpeg,,DMC 102,,,,,,,,,,,,,,,,,
dmc103,dmc103.jpeg,image/jpeg,,DMC 103,,,,,,,,,,,,,,,,,
dmc104,dmc104.jpeg,multiple,,DMC 104,,,,,,,,,,,,,,,,,
